well	target	task	ct	cv	pv	time	plate	ran
A1	At_gene	UNKNOWN	20.406	GOLDEN	B7	120	4	49
A2	At_gene	UNKNOWN	24.872	RRS10	A9	72	4	50
A3	At_gene	UNKNOWN	20.326	DERBY	A14	24	4	51
A4	At_gene	UNKNOWN	17.391	DERBY	B7	24	4	52
A5	At_gene	UNKNOWN	24.042	RADISH	A14	24	4	53
A6	At_gene	UNKNOWN	22.721	RRS10	ES	72	4	54
A7	At_gene	UNKNOWN	19.204	RRS10	DC	120	4	55
A8	At_gene	UNKNOWN	20.342	BRANDY	A14	24	4	56
A9	At_gene	UNKNOWN	21.036	AFRICAN	ES	120	4	57
A10	At_gene	UNKNOWN	17.905	RRS10	A14	120	4	58
A11	At_gene	UNKNOWN	15.018	AFRICAN	A9	72	4	59
A12	At_gene	UNKNOWN	23.377	AFRICAN	NP	72	4	60
A13	oprF_syringae_gene	UNKNOWN	24.12	GOLDEN	B7	120	4	49
A14	oprF_syringae_gene	UNKNOWN	28.729	RRS10	A9	72	4	50
A15	oprF_syringae_gene	UNKNOWN	25.298	DERBY	A14	24	4	51
A16	oprF_syringae_gene	UNKNOWN	24.615	DERBY	B7	24	4	52
A17	oprF_syringae_gene	UNKNOWN	26.375	RADISH	A14	24	4	53
A18	oprF_syringae_gene	UNKNOWN	24.571	RRS10	ES	72	4	54
A19	oprF_syringae_gene	UNKNOWN	24.003	RRS10	DC	120	4	55
A20	oprF_syringae_gene	UNKNOWN	23.38	BRANDY	A14	24	4	56
A21	oprF_syringae_gene	UNKNOWN	26.568	AFRICAN	ES	120	4	57
A22	oprF_syringae_gene	UNKNOWN	24.97	RRS10	A14	120	4	58
A23	oprF_syringae_gene	UNKNOWN	26.33	AFRICAN	A9	72	4	59
A24	oprF_syringae_gene	UNKNOWN	23.544	AFRICAN	NP	72	4	60
B1	At_gene	UNKNOWN	20.892	RADISH	MOCK	72	4	61
B2	At_gene	UNKNOWN	18.764	DERBY	A9	72	4	62
B3	At_gene	UNKNOWN	18.61	RRS10	MOCK	120	4	63
B4	At_gene	UNKNOWN	21.865	GOLDEN	DC	24	4	64
B5	At_gene	UNKNOWN	23.826	RRS10	A14	24	4	65
B6	At_gene	UNKNOWN	21.908	RRS10	A14	72	4	66
B7	At_gene	UNKNOWN	16.118	RADISH	ES	120	4	67
B8	At_gene	UNKNOWN	17.776	AFRICAN	A9	24	4	68
B9	At_gene	UNKNOWN	21.39	GOLDEN	A9	120	4	69
B10	At_gene	UNKNOWN	19.856	RRS10	A9	120	4	70
B11	At_gene	UNKNOWN	21.284	DERBY	NP	24	4	71
B12	At_gene	UNKNOWN	17.877	GOLDEN	DC	120	4	72
B13	oprF_syringae_gene	UNKNOWN	33.199	RADISH	MOCK	72	4	61
B14	oprF_syringae_gene	UNKNOWN	25.485	DERBY	A9	72	4	62
B15	oprF_syringae_gene	UNKNOWN	31.753	RRS10	MOCK	120	4	63
B16	oprF_syringae_gene	UNKNOWN	28.548	GOLDEN	DC	24	4	64
B17	oprF_syringae_gene	UNKNOWN	24.036	RRS10	A14	24	4	65
B18	oprF_syringae_gene	UNKNOWN	27.546	RRS10	A14	72	4	66
B19	oprF_syringae_gene	UNKNOWN	29.291	RADISH	ES	120	4	67
B20	oprF_syringae_gene	UNKNOWN	22.28	AFRICAN	A9	24	4	68
B21	oprF_syringae_gene	UNKNOWN	25.219	GOLDEN	A9	120	4	69
B22	oprF_syringae_gene	UNKNOWN	28.094	RRS10	A9	120	4	70
B23	oprF_syringae_gene	UNKNOWN	24.676	DERBY	NP	24	4	71
B24	oprF_syringae_gene	UNKNOWN	23.622	GOLDEN	DC	120	4	72
C1	At_gene	UNKNOWN	24.826	GOLDEN	B7	72	4	73
C2	At_gene	UNKNOWN	19.914	BRANDY	MOCK	120	4	74
C3	At_gene	UNKNOWN	20.014	GOLDEN	NP	24	4	75
C4	At_gene	UNKNOWN	25.756	RRS10	ES	120	4	76
C5	At_gene	UNKNOWN	18.165	RADISH	B7	24	4	77
C6	At_gene	UNKNOWN	17.422	AFRICAN	A9	120	4	78
C7	At_gene	UNKNOWN	20.889	GOLDEN	A14	72	4	79
C8	At_gene	UNKNOWN	20.801	BRANDY	B7	24	4	80
C9	At_gene	UNKNOWN	17.446	AFRICAN	MOCK	72	4	81
C10	At_gene	UNKNOWN	21.197	GOLDEN	NP	72	4	82
C11	At_gene	UNKNOWN	18.992	DERBY	NP	72	4	83
C12	At_gene	UNKNOWN	20.499	RRS10	B7	120	4	84
C13	oprF_syringae_gene	UNKNOWN	27.617	GOLDEN	B7	72	4	73
C14	oprF_syringae_gene	UNKNOWN	32.806	BRANDY	MOCK	120	4	74
C15	oprF_syringae_gene	UNKNOWN	24.464	GOLDEN	NP	24	4	75
C16	oprF_syringae_gene	UNKNOWN	24.621	RRS10	ES	120	4	76
C17	oprF_syringae_gene	UNKNOWN	25.855	RADISH	B7	24	4	77
C18	oprF_syringae_gene	UNKNOWN	23.775	AFRICAN	A9	120	4	78
C19	oprF_syringae_gene	UNKNOWN	25.709	GOLDEN	A14	72	4	79
C20	oprF_syringae_gene	UNKNOWN	24.963	BRANDY	B7	24	4	80
C21	oprF_syringae_gene	UNKNOWN	30.819	AFRICAN	MOCK	72	4	81
C22	oprF_syringae_gene	UNKNOWN	32.216	GOLDEN	NP	72	4	82
C23	oprF_syringae_gene	UNKNOWN	28.966	DERBY	NP	72	4	83
C24	oprF_syringae_gene	UNKNOWN	23.721	RRS10	B7	120	4	84
D1	At_gene	UNKNOWN	19.856	GOLDEN	MOCK	120	4	85
D2	At_gene	UNKNOWN	18.986	DERBY	B7	120	4	86
D3	At_gene	UNKNOWN	39.758	RADISH	A9	24	4	87
D4	At_gene	UNKNOWN	21.103	RADISH	DC	24	4	88
D5	At_gene	UNKNOWN	20.061	RADISH	DC	120	4	89
D6	At_gene	UNKNOWN	17.135	BRANDY	A9	72	4	90
D7	At_gene	UNKNOWN	21.884	DERBY	A9	24	4	91
D8	At_gene	UNKNOWN	20.248	DERBY	A9	120	4	92
D9	At_gene	UNKNOWN	17.786	RADISH	ES	24	4	93
D10	At_gene	UNKNOWN	22.443	BRANDY	NP	72	4	94
D11	At_gene	UNKNOWN	25.064	DERBY	ES	24	4	95
D12	At_gene	UNKNOWN	17.823	BRANDY	B7	120	4	96
