well	target	task	ct	cv	pv	time	plate	ran
A1	At_gene	UNKNOWN	18.177	GOLDEN	B7	120	4	49
A2	At_gene	UNKNOWN	22.103	RRS10	A9	72	4	50
A3	At_gene	UNKNOWN	17.716	DERBY	A14	24	4	51
A4	At_gene	UNKNOWN	16.267	DERBY	B7	24	4	52
A5	At_gene	UNKNOWN	21.568	RADISH	A14	24	4	53
A6	At_gene	UNKNOWN	20.447	RRS10	ES	72	4	54
A7	At_gene	UNKNOWN	17.721	RRS10	DC	120	4	55
A8	At_gene	UNKNOWN	17.681	BRANDY	A14	24	4	56
A9	At_gene	UNKNOWN	20.173	AFRICAN	ES	120	4	57
A10	At_gene	UNKNOWN	16.254	RRS10	A14	120	4	58
A11	At_gene	UNKNOWN	13.834	AFRICAN	A9	72	4	59
A12	At_gene	UNKNOWN	22.29	AFRICAN	NP	72	4	60
A13	oprF_syringae_gene	UNKNOWN	23.615	GOLDEN	B7	120	4	49
A14	oprF_syringae_gene	UNKNOWN	28.23	RRS10	A9	72	4	50
A15	oprF_syringae_gene	UNKNOWN	24.773	DERBY	A14	24	4	51
A16	oprF_syringae_gene	UNKNOWN	24.225	DERBY	B7	24	4	52
A17	oprF_syringae_gene	UNKNOWN	25.828	RADISH	A14	24	4	53
A18	oprF_syringae_gene	UNKNOWN	24.327	RRS10	ES	72	4	54
A19	oprF_syringae_gene	UNKNOWN	23.64	RRS10	DC	120	4	55
A20	oprF_syringae_gene	UNKNOWN	23.007	BRANDY	A14	24	4	56
A21	oprF_syringae_gene	UNKNOWN	26.19	AFRICAN	ES	120	4	57
A22	oprF_syringae_gene	UNKNOWN	24.582	RRS10	A14	120	4	58
A23	oprF_syringae_gene	UNKNOWN	25.216	AFRICAN	A9	72	4	59
A24	oprF_syringae_gene	UNKNOWN	22.987	AFRICAN	NP	72	4	60
B1	At_gene	UNKNOWN	19.04	RADISH	MOCK	72	4	61
B2	At_gene	UNKNOWN	16.46	DERBY	A9	72	4	62
B3	At_gene	UNKNOWN	16.698	RRS10	MOCK	120	4	63
B4	At_gene	UNKNOWN	19.32	GOLDEN	DC	24	4	64
B5	At_gene	UNKNOWN	21.347	RRS10	A14	24	4	65
B6	At_gene	UNKNOWN	19.439	RRS10	A14	72	4	66
B7	At_gene	UNKNOWN	14.689	RADISH	ES	120	4	67
B8	At_gene	UNKNOWN	15.461	AFRICAN	A9	24	4	68
B9	At_gene	UNKNOWN	18.27	GOLDEN	A9	120	4	69
B10	At_gene	UNKNOWN	19.206	RRS10	A9	120	4	70
B11	At_gene	UNKNOWN	18.358	DERBY	NP	24	4	71
B12	At_gene	UNKNOWN	15.473	GOLDEN	DC	120	4	72
B13	oprF_syringae_gene	UNKNOWN	31.863	RADISH	MOCK	72	4	61
B14	oprF_syringae_gene	UNKNOWN	25.066	DERBY	A9	72	4	62
B15	oprF_syringae_gene	UNKNOWN	30.316	RRS10	MOCK	120	4	63
B16	oprF_syringae_gene	UNKNOWN	28.045	GOLDEN	DC	24	4	64
B17	oprF_syringae_gene	UNKNOWN	23.49	RRS10	A14	24	4	65
B18	oprF_syringae_gene	UNKNOWN	26.979	RRS10	A14	72	4	66
B19	oprF_syringae_gene	UNKNOWN	29.098	RADISH	ES	120	4	67
B20	oprF_syringae_gene	UNKNOWN	22.054	AFRICAN	A9	24	4	68
B21	oprF_syringae_gene	UNKNOWN	24.791	GOLDEN	A9	120	4	69
B22	oprF_syringae_gene	UNKNOWN	27.753	RRS10	A9	120	4	70
B23	oprF_syringae_gene	UNKNOWN	24.184	DERBY	NP	24	4	71
B24	oprF_syringae_gene	UNKNOWN	23.036	GOLDEN	DC	120	4	72
C1	At_gene	UNKNOWN	22	GOLDEN	B7	72	4	73
