key	A07889	A10853	A1448A	A26002	A41a	A9	Alf3	B301DR	B48	BRIP34876	CC1458	CC1513	CC1630	CC440	CC94	CFBP1657	CFBP3846	DC3000	DSM50255	ES4326	HRIW7872	ICMP16944	ICMP18417	ICMP2814	ICMP2855	ICMP4116	ICMP4303	ICMP4917	ICMP5027	ICMP8960	ISPaVe013	NCPPB2598	NP29	P21	P89	PA459	PP1
A07889	0.9999979999999999	0.862834	0.860439	0.861229	0.861588	0.877597	0.861443	0.8637520000000001	0.862876	0.8614060000000001	0.86114	0.860788	0.8759399999999999	0.861333	0.862129	0.876759	0.8757940000000001	0.876323	0.8606480000000001	0.9520569999999999	0.863139	0.86214	0.8759650000000001	0.876914	0.855592	0.877877	0.877159	0.861054	0.863349	0.862177	0.8622	0.87444	0.862709	0.861428	0.8619060000000001	0.874936	0.862749
A10853	0.8630070000000001	1.0	0.892911	0.943237	0.949558	0.87072	0.949346	0.984771	0.984135	0.948403	0.949553	0.858392	0.8714419999999999	0.949338	0.9841679999999999	0.8706919999999999	0.8698659999999999	0.869583	0.949323	0.862498	0.984458	0.8940309999999999	0.8701770000000001	0.87031	0.886058	0.871188	0.8708459999999999	0.949651	0.893985	0.857985	0.951106	0.870383	0.984705	0.948709	0.9429510000000001	0.8713960000000001	0.9500799999999999
A1448A	0.8601049999999999	0.893092	1.0	0.897895	0.89113	0.876224	0.890778	0.892328	0.892791	0.891146	0.8913150000000001	0.85702	0.875238	0.891969	0.891492	0.8757769999999999	0.8762260000000001	0.875695	0.8921859999999999	0.8615560000000001	0.892201	0.9759399999999999	0.876409	0.876574	0.893214	0.876347	0.8757630000000001	0.891717	0.9896699999999999	0.857907	0.8930089999999999	0.8762949999999999	0.8928050000000001	0.890946	0.8975409999999999	0.878172	0.891647
A26002	0.862374	0.942698	0.898038	1.0	0.946245	0.87009	0.945842	0.94408	0.942614	0.9455169999999999	0.945798	0.85745	0.870103	0.9453959999999999	0.9439839999999999	0.870111	0.870077	0.86941	0.9455830000000001	0.861869	0.942964	0.8995799999999999	0.869952	0.8700230000000001	0.885778	0.8710460000000001	0.8699479999999999	0.9453959999999999	0.898095	0.858512	0.950303	0.869084	0.944141	0.944936	0.9890789999999999	0.8690519999999999	0.9462659999999999
A41a	0.8627290000000001	0.950102	0.892989	0.9461400000000001	1.0	0.871055	0.982368	0.950839	0.9501090000000001	0.980395	0.980747	0.857966	0.8722960000000001	0.981112	0.949439	0.870823	0.8701349999999999	0.869239	0.980231	0.862263	0.950366	0.8932869999999999	0.8705729999999999	0.870776	0.884183	0.871379	0.870579	0.981803	0.892603	0.858221	0.964701	0.869646	0.950258	0.98059	0.947073	0.872516	0.978404
A9	0.877368	0.8716740000000001	0.875587	0.869777	0.869401	1.0	0.870206	0.871736	0.872136	0.8695470000000001	0.869568	0.8660680000000001	0.9891249999999999	0.870156	0.87166	0.988549	0.984833	0.98792	0.86977	0.874749	0.872112	0.8765890000000001	0.9606650000000001	0.98868	0.8686849999999999	0.9886400000000001	0.9888899999999999	0.869541	0.876706	0.8662030000000001	0.87176	0.954357	0.8724209999999999	0.8697020000000001	0.870544	0.955025	0.870913
Alf3	0.861727	0.950485	0.8916719999999999	0.945849	0.9819159999999999	0.870428	1.0	0.9507080000000001	0.949705	0.982128	0.981662	0.85907	0.869662	0.985031	0.9498730000000001	0.869612	0.869284	0.868728	0.9809709999999999	0.8614069999999999	0.949903	0.8939400000000001	0.8694320000000001	0.8698779999999999	0.884055	0.8705029999999999	0.869081	0.981703	0.89225	0.8578520000000001	0.963431	0.868458	0.950572	0.984559	0.9473210000000001	0.8701019999999999	0.979559
B301DR	0.863663	0.985275	0.8936799999999999	0.94419	0.9503889999999999	0.872077	0.950292	1.0	0.986073	0.9496370000000001	0.950145	0.859457	0.8719840000000001	0.950491	0.9854179999999999	0.871495	0.870346	0.870604	0.9493600000000001	0.8634900000000001	0.987172	0.894487	0.8714749999999999	0.871579	0.8865949999999999	0.8721460000000001	0.8714069999999999	0.9498690000000001	0.894192	0.8599519999999999	0.9526399999999999	0.870364	0.9868129999999999	0.949559	0.943707	0.8710169999999999	0.951673
B48	0.863586	0.9840829999999999	0.893001	0.943506	0.950218	0.871866	0.9496850000000001	0.986469	1.0	0.9499179999999999	0.949238	0.858004	0.871468	0.950239	0.985021	0.870776	0.870355	0.8710840000000001	0.9491970000000001	0.8635200000000001	0.999617	0.89325	0.87083	0.871303	0.8859600000000001	0.872283	0.870631	0.949731	0.893078	0.858144	0.952051	0.870387	0.986772	0.948627	0.942867	0.869969	0.9504900000000001
BRIP34876	0.8614700000000001	0.949716	0.892108	0.9457720000000001	0.980085	0.869333	0.9819580000000001	0.949773	0.949228	1.0	0.9833	0.857446	0.870669	0.9822679999999999	0.949029	0.870147	0.8687210000000001	0.869134	0.985917	0.860941	0.949383	0.89333	0.8692730000000001	0.869962	0.883255	0.869376	0.8685649999999999	0.981005	0.8928480000000001	0.857001	0.963918	0.868356	0.9496420000000001	0.981891	0.946788	0.870354	0.9784149999999999
