well	target	task	ct	cv	pv	time	plate	ran
A1	At_gene	UNKNOWN	16.453	AFRICAN	NP	24	3	1
A2	At_gene	UNKNOWN	13.057	DERBY	ES	120	3	2
A3	At_gene	UNKNOWN	12.032	BRANDY	DC	72	3	3
A4	At_gene	UNKNOWN	14.581	GOLDEN	B7	72	3	4
A5	At_gene	UNKNOWN	13.236	RRS10	ES	24	3	5
A6	At_gene	UNKNOWN	15.116	RADISH	A14	72	3	6
A7	At_gene	UNKNOWN	16.091	AFRICAN	B7	120	3	7
A8	At_gene	UNKNOWN	17.308	DERBY	NP	24	3	8
A9	At_gene	UNKNOWN	16.496	AFRICAN	A14	120	3	9
A10	At_gene	UNKNOWN	11.76	RADISH	NP	72	3	10
A11	At_gene	UNKNOWN	16.884	DERBY	ES	72	3	11
A12	At_gene	UNKNOWN	15.926	DERBY	DC	120	3	12
A13	oprF_syringae_gene	UNKNOWN	22.036	 AFRICAN 	 NP 	24	3	1
A14	oprF_syringae_gene	UNKNOWN	22.423	 DERBY 	 ES 	120	3	2
A15	oprF_syringae_gene	UNKNOWN	21.401	 BRANDY 	 DC 	72	3	3
A16	oprF_syringae_gene	UNKNOWN	20.948	 GOLDEN 	 B7 	72	3	4
A17	oprF_syringae_gene	UNKNOWN	20.988	 RRS10 	 ES 	24	3	5
A18	oprF_syringae_gene	UNKNOWN	20.015	 RADISH 	 A14 	72	3	6
A19	oprF_syringae_gene	UNKNOWN	23.756	 AFRICAN 	 B7 	120	3	7
A20	oprF_syringae_gene	UNKNOWN	17.419	 DERBY 	 NP 	24	3	8
A21	oprF_syringae_gene	UNKNOWN	20.664	 AFRICAN 	 A14 	120	3	9
A22	oprF_syringae_gene	UNKNOWN	20.988	 RADISH 	 NP 	72	3	10
A23	oprF_syringae_gene	UNKNOWN	21.88	 DERBY 	 ES 	72	3	11
A24	oprF_syringae_gene	UNKNOWN	20.865	 DERBY 	 DC 	120	3	12
B1	At_gene	UNKNOWN	17.089	GOLDEN	A9	72	3	13
B2	At_gene	UNKNOWN	16.837	AFRICAN	B7	24	3	14
B3	At_gene	UNKNOWN	11.661	RADISH	MOCK	72	3	15
B4	At_gene	UNKNOWN	14.941	DERBY	A9	24	3	16
B5	At_gene	UNKNOWN	13.693	BRANDY	NP	24	3	17
B6	At_gene	UNKNOWN	12.804	GOLDEN	MOCK	120	3	18
B7	At_gene	UNKNOWN	13.729	RRS10	A14	120	3	19
B8	At_gene	UNKNOWN	14.987	RRS10	DC	24	3	20
B9	At_gene	UNKNOWN	15.97	AFRICAN	A14	72	3	21
B10	At_gene	UNKNOWN	12.735	GOLDEN	A9	120	3	22
B11	At_gene	UNKNOWN	14.28	RRS10	A9	24	3	23
B12	At_gene	UNKNOWN	12.819	GOLDEN	DC	120	3	24
B13	oprF_syringae_gene	UNKNOWN	20.485	GOLDEN	A9	72	3	13
B14	oprF_syringae_gene	UNKNOWN	18.568	AFRICAN	B7	24	3	14
B15	oprF_syringae_gene	UNKNOWN	27.747	RADISH	MOCK	72	3	15
B16	oprF_syringae_gene	UNKNOWN	20.656	DERBY	A9	24	3	16
B17	oprF_syringae_gene	UNKNOWN	20.901	BRANDY	NP	24	3	17
B18	oprF_syringae_gene	UNKNOWN	29.722	GOLDEN	MOCK	120	3	18
B19	oprF_syringae_gene	UNKNOWN	20.906	RRS10	A14	120	3	19
B20	oprF_syringae_gene	UNKNOWN	20.451	RRS10	DC	24	3	20
B21	oprF_syringae_gene	UNKNOWN	20.779	AFRICAN	A14	72	3	21
B22	oprF_syringae_gene	UNKNOWN	20.449	GOLDEN	A9	120	3	22
B23	oprF_syringae_gene	UNKNOWN	19.687	RRS10	A9	24	3	23
B24	oprF_syringae_gene	UNKNOWN	18.369	GOLDEN	DC	120	3	24
C1	At_gene	UNKNOWN	15.373	AFRICAN	ES	72	3	25
C2	At_gene	UNKNOWN	15.158	AFRICAN	NP	72	3	26
C3	At_gene	UNKNOWN	14.497	BRANDY	DC	24	3	27
C4	At_gene	UNKNOWN	12.34	BRANDY	B7	72	3	28
C5	At_gene	UNKNOWN	12.58	GOLDEN	ES	24	3	29
C6	At_gene	UNKNOWN	13.601	AFRICAN	ES	24	3	30
C7	At_gene	UNKNOWN	12.025	RRS10	ES	120	3	31
C8	At_gene	UNKNOWN	11.529	RADISH	DC	24	3	32
C9	At_gene	UNKNOWN	10.442	RADISH	ES	72	3	33
C10	At_gene	UNKNOWN	11.298	RRS10	MOCK	72	3	34
C11	At_gene	UNKNOWN	14.618	DERBY	MOCK	120	3	35
C12	At_gene	UNKNOWN	12.921	GOLDEN	MOCK	72	3	36
C13	oprF_syringae_gene	UNKNOWN	22.455	AFRICAN	ES	72	3	25
C14	oprF_syringae_gene	UNKNOWN	20.836	AFRICAN	NP	72	3	26
C15	oprF_syringae_gene	UNKNOWN	23.326	BRANDY	DC	24	3	27
C16	oprF_syringae_gene	UNKNOWN	20.689	BRANDY	B7	72	3	28
C17	oprF_syringae_gene	UNKNOWN	19.81	GOLDEN	ES	24	3	29
C18	oprF_syringae_gene	UNKNOWN	20.032	AFRICAN	ES	24	3	30
C19	oprF_syringae_gene	UNKNOWN	21.605	RRS10	ES	120	3	31
C20	oprF_syringae_gene	UNKNOWN	20.375	RADISH	DC	24	3	32
C21	oprF_syringae_gene	UNKNOWN	21.187	RADISH	ES	72	3	33
C22	oprF_syringae_gene	UNKNOWN	27.386	RRS10	MOCK	72	3	34
C23	oprF_syringae_gene	UNKNOWN	30.468	DERBY	MOCK	120	3	35
C24	oprF_syringae_gene	UNKNOWN	27.57	GOLDEN	MOCK	72	3	36
D1	At_gene	UNKNOWN	11.889	RRS10	A9	120	3	37
D2	At_gene	UNKNOWN	11.748	RADISH	DC	72	3	38
D3	At_gene	UNKNOWN	10.751	GOLDEN	A9	24	3	39
D4	At_gene	UNKNOWN	11.951	RADISH	NP	120	3	40
D5	At_gene	UNKNOWN	11.366	RADISH	ES	120	3	41
D6	At_gene	UNKNOWN	13.522	AFRICAN	DC	24	3	42
D7	At_gene	UNKNOWN	14.044	AFRICAN	A9	120	3	43
D8	At_gene	UNKNOWN	13.755	DERBY	NP	120	3	44
D9	At_gene	UNKNOWN	12.831	GOLDEN	A14	72	3	45
D10	At_gene	UNKNOWN	13.347	DERBY	B7	72	3	46
D11	At_gene	UNKNOWN	11.243	RADISH	MOCK	24	3	47
D12	At_gene	UNKNOWN	11.744	RADISH	A9	120	3	48
D13	oprF_syringae_gene	UNKNOWN	22.832	RRS10	A9	120	3	37
D14	oprF_syringae_gene	UNKNOWN	23.587	RADISH	DC	72	3	38
D15	oprF_syringae_gene	UNKNOWN	20.876	GOLDEN	A9	24	3	39
D16	oprF_syringae_gene	UNKNOWN	24.053	RADISH	NP	120	3	40
D17	oprF_syringae_gene	UNKNOWN	22.887	RADISH	ES	120	3	41
D18	oprF_syringae_gene	UNKNOWN	19.93	AFRICAN	DC	24	3	42
D19	oprF_syringae_gene	UNKNOWN	21.695	AFRICAN	A9	120	3	43
D20	oprF_syringae_gene	UNKNOWN	19.135	DERBY	NP	120	3	44
D21	oprF_syringae_gene	UNKNOWN	21.781	GOLDEN	A14	72	3	45
D22	oprF_syringae_gene	UNKNOWN	21.646	DERBY	B7	72	3	46
D23	oprF_syringae_gene	UNKNOWN	27.724	RADISH	MOCK	24	3	47
D24	oprF_syringae_gene	UNKNOWN	21.201	RADISH	A9	120	3	48
E1	At_gene	UNKNOWN	13.008	RRS10	NP	24	3	49
E2	At_gene	UNKNOWN	13.281	DERBY	MOCK	72	3	50
E3	At_gene	UNKNOWN	10.751	RRS10	MOCK	120	3	51
E4	At_gene	UNKNOWN	15.395	RRS10	MOCK	24	3	52
E5	At_gene	UNKNOWN	13.319	DERBY	B7	120	3	53
E6	At_gene	UNKNOWN	14.294	BRANDY	ES	120	3	54
E7	At_gene	UNKNOWN	12.975	AFRICAN	MOCK	72	3	55
E8	At_gene	UNKNOWN	13.077	GOLDEN	DC	72	3	56
E9	At_gene	UNKNOWN	11.561	RRS10	DC	120	3	57
E10	At_gene	UNKNOWN	13.818	DERBY	ES	24	3	58
E11	At_gene	UNKNOWN	10.982	RRS10	B7	120	3	59
E12	At_gene	UNKNOWN	13.564	DERBY	A14	120	3	60
E13	oprF_syringae_gene	UNKNOWN	19.337	RRS10	NP	24	3	49
E14	oprF_syringae_gene	UNKNOWN	27.888	DERBY	MOCK	72	3	50
E15	oprF_syringae_gene	UNKNOWN	30.545	RRS10	MOCK	120	3	51
E16	oprF_syringae_gene	UNKNOWN	28.04	RRS10	MOCK	24	3	52
E17	oprF_syringae_gene	UNKNOWN	26.985	DERBY	B7	120	3	53
E18	oprF_syringae_gene	UNKNOWN	24.446	BRANDY	ES	120	3	54
E19	oprF_syringae_gene	UNKNOWN	27.401	AFRICAN	MOCK	72	3	55
